Ref,Val,Package,PosX,PosY,Rot,Side
"C1","2u2","C_0805",75.184000,-120.015000,90.000000,top
"C2","2u2","C_0805",104.394000,-120.015000,90.000000,top
"C3","2u2","C_0805",123.444000,-120.015000,90.000000,top
"C4","2u2","C_0805",152.654000,-120.015000,90.000000,top
"C5","2u2","C_0805",111.975000,-122.618500,0.000000,top
"C6","2u2","C_0805",165.315000,-122.618500,0.000000,top
"FID1","Fiducial","Fiducial",73.406000,-108.966000,0.000000,top
"FID2","Fiducial","Fiducial",72.898000,-123.444000,0.000000,top
"FID3","Fiducial","Fiducial",170.434000,-123.444000,0.000000,top
"FID4","Fiducial","Fiducial",167.894000,-108.966000,0.000000,top
"U1","42C8128","SOJ-40_400mil",89.789000,-116.332000,90.000000,top
"U2","42C8128","SOJ-40_400mil",138.049000,-116.332000,90.000000,top
